text,label
"Subject: iwon member news : iwon tv show , new year of prizes , more !
dear daren farmer ,
we ' ve just made two major announcements !
we will be awarding our $ 10 million annual grand prize , our
march $ 1 million prize , a mercedes convertible and a trip for
four to maui plus $ 25 , 000 spending money during our very own
network tv show !
the first - ever "" iwon . com annual $ 10 million giveaway "" airs
april 15 th , from 8 : 00 - 8 : 30 pm et / pt , on the cbs television network .
get all the latest show news at :
we ' re launching a new , bigger and better yearlong sweepstakes
starting april lst ! what makes it bigger and better ? we ' re
adding 30 - that ' s right , thirty - $ 1 , 000 cash prizes as part
of our new weekly prize club , while continuing our $ 10 , 000 daily ,
$ 1 million monthly and $ 10 million annual sweepstakes . iwon
just keeps getting better !
to learn more about our new prize structure and automatically be
entered into our march bonus $ 20 , 000 sweepstakes , click here :
click here for the official march bonus $ 20 , 000 sweepstakes rules :
"" my iwon "" - all your personalized info on just one page !
personalize your "" my iwon "" page and you can enjoy all this at a glance :
? expanded news headlines ( add up to 16 categories ! )
? local weather conditions ( now with more forecast information than ever ! )
? sports scores ( with easy access to new associated press coverage ! )
? daily horoscope ( featuring a new dating guide and more - one click away ! )
? lottery results , stock updates , favorite links and more !
make "" my iwon "" all yours at :
play free games and win big prizes at prizecentral . com !
choose from 15 games from solitaire to slots . earn tokens , and
redeem for your choice of over $ 300 , 000 in monthly prizes like
cash , dvd players , diamond earrings , toys , vacations and much more .
everyone wins at prize central . prizes start at only 5 tokens .
click here now to play for free !
introducing the new iwon tax center !
april 17 th is coming - have you done your taxes yet ? we have all
the advice , tips and online forms you need , plus a withholding
calculator , tax estimator and more !
visit the tax center at :
good luck and have fun !
george nimeh
vice president
community and member services
iwon . com http : / / www . iwon . com why wouldn ' t you ?
need help ?
if you have any questions about the iwon service , please
visit our online help center .
visit iwon help at :
you received this newsletter because when you registered at
iwon . com , you indicated that you wished to receive email from
us about new features , events and special offers .
we hope you found this newsletter useful . however , if you ' d
like your name taken off the mailing list , you can update
your preferences by changing your member profile .
to update your member profile , go to the iwon homepage and
click on "" my profile "" which is located at the bottom of the
page . ( if you ' re not signed - in , you will need to do so before
you can update your profile . ) from your member profile page ,
you can change your email preferences .
update your profile at :
no purchase necessary to enter the iwon sweepstakes or march
$ 20 , 000 bonus sweepstakes . void where prohibited . promotions
open to u . s . residents 18 or older . odds depend on number of
entries . promotions end 4 / 1 / 00 .
email distribution services for iwon . com provided by
dartmail .
* # * dfarmer @ ect . enron . com",0
"Subject: industrial report
can you please forward me the "" buyback / deficiency "" deals for march ' 2000 .
your worksheet would greatly assist me with completing this request .
- - - - - - - - - - - - - - - - - - - - - - forwarded by robert e lloyd / hou / ect on 02 / 28 / 2000
02 : 31 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
daren j farmer
02 / 25 / 2000 04 : 52 pm
to : robert e lloyd / hou / ect @ ect
cc : pat clynes / corp / enron @ enron
subject : indutrial report
robert ,
ken developed an industrial report before he left . it can be found at
o / logistics / kenseaman / industrialsmonthly / . . . there is one file for each
month of 2000 . i need you to update this for march . this will need to be
distributed to gas control , logistics , and myself . let me know if you have
any questions .
d",0
"Subject: new financial operations contacts for energy operations
i just wanted to give all of you an update to my previous message on the
replacement for brian heinrich in financial operations . jennifer blay was
going to be his replacement ; however , jennifer has accepted a position in
energy operations working for jeff sorenson . the newest addition to the
financial operations staff is holly heath who joins us from bank united . she
is located at eb - 2419 a and can be reached at ext . 3 - 5843 . in addition , sarah
brown will transfer as manager of the consolidated reporting team from the
gas and transmission assets team in the business analysis and reporting
organization . sarah is located at eb - 2419 b and can be reached at ext . 3 - 3417 .
brian will be helping to transition holly into her new responsibilities . as
such , you will be receiving e - mails from brian during the next week or so .
after that , holly will begin to request information directly from you .
please join me in welcoming both holly and sarah into their new roles .
thanks for your patience during the next few weeks . if you have any
questions , please do not hesitate to call me .
lisa cousino
x 3 - 6343",0
"Subject: urgent
ed has requested that we compile a list this morning of all parties / points
which we owe gas to , in the event that we need to find a home for excess
volumes today . please email me a list of any meters / contracts that you are
aware of . i am compiling an interim list based upon the rtu variance report
for march , however , i don ' t want to rely on this list as you may be engaged
in balancing at meters with variances .
thank you ,
mary",0
"Subject: enron / hpl actuals for sept . 18 , 2000
ls hpl lsk ic 2 . 500 / enron",0
"Subject: cleburne issues
daren , with megan gone i just wanted to touch base with you on the status of the enron payments owed to the cleburne plant . the current issues are as follows :
november gas sales $ 600 , 377 . 50
october payment to ena for txu pipeline charges $ 108 , 405 . 00
cleburne receivable from enron $ 708 , 782 . 50
less : november gas agency fees ( $ 54 , 000 . 00 )
net cleburne receivable from enron $ 654 , 782 . 50
per my discussions with megan , she stated that about $ 500 k of the $ 600 k nov gas sales was intercompany ( desk to desk ) sales , with the remainder from txu . are we able to settle any intercompany deals now ? are we able to settle with txu ?
additionally , you ' ll see that i included the oct txu payment in the receivable owed to cleburne also . this is because i always pay megan based upon the pipeline estimates in michael ' s file , even though they are not finalized until the next month . therefore in my november payment to enron , i paid ena for october ' s estimate , of which megan would have paid the final bill on 12 / 26 / 01 when it was finalized . however , i had to pay the october bill directly last month , even though i had already sent the funds to ena in november . therefore , i essentially paid this bill twice ( once to ena in nov & once to txu in dec ) . i deducted the november agency fees from these receivable totals to show the net amount owed to cleburne .
please advise as to the status of these bills . you can reach me at 713 - 853 - 7280 . thanks .
james",0
"Subject: wellhead volumes adjusted - may , 2001
the wellhead volumes have been adjusted to the avg . column on the attached spreadsheet effective 5 / 8 / 01 .
bob",0
"Subject: = ? iso - 8859 - 7 ? q ? = 5 b = 3 f = 5 d _ fwd : continuous _ gr = f 4 wth _ with _ the _ pill ? =
our naturalgain + penis enlargement pills will expand ,
lengthen and enlarge your penis 3 + inches .
100 % satisfaction guaranteed ! or your money back !
* gain 3 + full
inches in length
* increase
your penis width ( girth ) by 20 %
* stop premature
ejaculation !
* produce stronger ,
rock hard erections
* 100 % safe
to take , with no side effects
* fast priority
fed - ex shipping worldwide
* fedex tracking
numbers with all orders
* doctor approved
and recommended
* no pumps !
no surgery ! no exercises !
* 100 % money
back guarantee
* free bottle
of naturalgain + worth over $ 50
* free "" male
help e - book "" worth over $ 50
click here to enlarge your penis
",1
"Subject: buy your medicines from us , viagra , xanax and more .
no doctor visit needed .
remove .
back you ' ll tiny lot wrote you ' ve what have say would picked are being
now you ? good then postpone to mom . once . thing loved lost you ' d so it
i ' ve changed weeks . these can ' t really that in never into time wants it ' s
",1
"Subject: re : meter 0980438 - acock production ? ? ? ? ? ?
fred :
i have run this issue by clem cernosek for further research , and expect to
have his answer this afternoon . in the meantime , it is my understanding that
this well is behind the big cowboy system . at this time , we have deal ticket
380710 , purchase from ccgm , l . p . on hplc / hplc . this deal should probably be
on gulf energy / bigcowboy . the producer , as i understand it , is acock
production , however , i may be mis - informed . any insight which any of you can
shed on this deal would be very welcome , i would like to capture this
accurately and definitively as early on as possible , so as to prevent any
future issues .
thank you all for your patience and assistance ,
mary",0
"Subject: eastrans nomination change effective 10 / 12 / 00
please increase deliveries to eastrans to 7900 mmbtu / dy effectuve 10 / 12 / 00 .
the redeliveries will be 7900 mmbtu / dy from fuels cotton valley into hpl .",0
"Subject: aep - hpl transition issues
attached is a updated memo about transition issues .
this is not a all inclusive memo but a starting point .
please sent comments to me and i will update and redistribute .
thanks
bob",0
"Subject: duplicates
sorry for any duplicate , having problems with lotus
notes .
gary green",0
"Subject: meter # : 6599
deal 138049 is committed reserve long term gas totaling 1 , 350 mm per day
which is a good deal .
however , deal # : 348446 is a duplicate deal which was overstated and
should be zeroed out { bad deal } .
this is vance response to an inquiry made by bob .
daren , do you want me to zero out deal # : 348446 ?",0
"Subject: jake
hey ! what did the doctor say about jake ? did they run the tests ? i ' m out
next week wed . - fri . for spring break . i want to bring lacy to see jake .
when would be best ? tonya said the weekends were taken for a while . did she
mean easter weekend too ? hope jake is doing better . you never did send me
any videos of him & cole so i could see if i could download them . love , ma
get your private , free email at http : / / www . hotmail . com",0
"Subject: new product ! cialis soft tabs .
hi there ,
try this special product , cialis soft tabs . we have millions
of happy customers all around the world . you will get the perfect
feeling of being a man again !
cialis soft tabs is the impotence treatment drug that everyone
is talking about . cialis acts up to 36 hours , compare this to
only two or three hours of viagra action ! the active ingredient is
tadalafil , same as in brand cialis .
simply dissolve half a pill under your tongue , 10 min before
intercourse for the best erections you ' ve ever had ! cialis also
have less sidebacks ( you can drive or mix alcohol drinks with
them ) . no prior prescription is needed .
* save up to 80 % compared to the pharmacies .
* worldwide shipping
* impress your woman today !
you can get it at : http : / / furbelows . net / soft /
world rx direct can bring you quality generic drugs for a
fraction of the cost of the expensive brand name equivalents .
order our tadalafil pills today and save 80 % . we ship worldwide ,
and currently supply to over 1 million customers globally ! we
always strive to bring you the cheapest prices .
no thanks : http : / / furbelows . net / rr . php
",1
"Subject: watch this stock going up
a niche remanufacturing industry alert for investors and traders : one of a few very unique technological opportunities : re - manufacturing for a global market
stock alert -
updated : 4 / 22 / 05 09 : 23 am est
adsero corp ( adso ) is a leader in the printer cartridge recharger industry .
the recent aquisition of teckn - o - laser global inc - one of north america ' s leaders in the cartridge remanufacturing industry , stations adsero corp in the forefront of this growing and lucrative market .
adso stock status :
last sale : 1 . 00
52 wk range : 1 . 20 - 2 . 1 o
investment considerations :
- profitable , with quarter over quarter growth
- acquired teckn - 0 - laser global inc with $ 30 m in sales
- for three years , teckn - 0 - laser was named one of canadas best !
- domestic us market is estimated to be in excess of $ 9 billion by 2006 !
- global market is estimated to be in excess of $ 25 billion !
company profile :
adsero corp . is a rapidly expanding company focusing on the printer cartridge recharger industry , with specific emphasis on laser toner , and to a lesser extent ink jet cartridges .
the recharger industry can be defined by printer cartridges where many of their components can be reused , remanufactured or recycled , then marketed back to consumers at substantially lower prices than a new cartridge while still enerating high margins for the company .
aderso corp . seeks to consolidate well - managed and profitable companies which address the highly lucrative recharger segment .
recharger industry profile :
total market is estimated to be in excess of $ 25 billion globally
specific specialization will be in the cartridge recharger industry . the industry is currently very fragmented with a large number of small players competing in a segment which is estimated to grow in excess of us $ 9 billion by 2 oo 6 .
in order to compete , players will need to achieve economies of scale and develop expanded sales channels .
adsero corp . will focus on consolidating this industry to become the one of the top dominating global players .
conclusion :
adsero corp . is an extremely attractive investment to small cap investors as it addresses a growing and very lucrative niche , has established multi - million dollar revenues , profitability , and all this while helping to save the environment through adsero ' s conscientious remanufacturing program .
as a serious player in the cartridge aftermarket , industry , adsero corp . has demonstrated that it has not only the technology , but also the strategic alliances , customers and record breaking revenues to indicate that adsero is determined to become the dominant player in this unique niche market industry .
this e - mail is sent for the sole attention of the identified addressee and its contents
are provided for information purposes only . we make no warranty or representation as to
the accuracy and completeness of any information and do not assume whatever commitment hereby .
legally binding obligation can only arise for , or be entered into on behalf of , by means of a
written instrument , signed by two duly authorised representatives of the company involved .
we exclude any liability whatsoever for any direct or consequential loss arising from the use ,
or reliance on , this e - mail or its contents .
* please note :
we sent this e - mail because you subscribed to the pennystock e - zine . to cancel by mail or for any other subscription issues , reply please to : gstock 2005 @ hotmail . com
( c ) 2 oo 5 pennystock e - zine all rights reserved
",1
"Subject: re : cody texas , l . p . , meter 5333
daren ,
deal # 320162 has been created and entered in sitara .
bob
enron north america corp .
from : melissa graves 06 / 30 / 2000 12 : 22 pm
to : robert cotten / hou / ect @ ect , hillary mack / corp / enron @ enron
cc : vance l taylor / hou / ect @ ect
subject : cody texas , l . p . , meter 5333
bob ,
hplc will be purchasing wellhead gas from the producer listed below for the
production month of july . this production will be purchased on a "" spot ""
basis and a deal ticket should be created and entered into sitara based on
the following information :
counterparty meter volume price
cody texas , l . p . 5333 2975 mmbtu / d 100 % if / hsc less $ 0 . 09
this ticket should be marked evergreen , so that it rolls month to month .
additionally , this is a producer svcs . deals and should be tracked in the im
wellhead portfolio . . . attached to the gathering contract .
hillary ,
i noticed deal 305549 has just been put in for one day ( 6 / 1 / 00 ) . we have
flow at this meter during the month of june , so could this ticket be changed
to go through 6 / 30 / 00 ?
thanks you ,
melissa
x 39173",0
"Subject: opm survey help sheet
hi daren ,
the attached spreadsheet could be used to help you in the collection of the
hours for your group prior to entering into the database sent to you by james
scribner . it includes a place for your fte ' s , hours by position & activity
and the activity definitions for your cost center . please let me know if you
have any questions .
thanks ,
suzanne",0
"Subject: fw : reconnect vpn
everyone ' s remote access has been changed due to security reasons . brandee is in the process of initiating a e - request for each of you . once you get approved you should get the following email .
in addition , each of you who uses a laptop will need to connect the laptop to the network here at the office and log on as yourself . this will syncrize your profile on that laptop .
please pass the information onto your staff .
thanks ,
tammy
- - - - - original message - - - - -
from : stine , robert
sent : tuesday , december 11 , 2001 1 : 33 pm
to : jaquet , tammy ; calcagno , suzanne
subject : econnect vpn
you have been approved and added to the econnect remote access solution . your user account will be granted remote access permission by it security within 24 hours . please follow the instructions in the attached document .
if you require technical assistance , please call the resolution center at 713 . 853 . 1411 .
thanks ,
rob .
robert c . stine
technology architecture
e - mail : robert . stine @ enron . com",0
"Subject: live better
howdy ,
oradder from calanada and sabeve moloney .
* p * * we are running holot spekocials * ol * *
metods stalerts at only $ g 3 p 9 - $ 69
- mexeridleia , xaponax , cshipbalish , and so mulch mocore
- melods are 70 b % lesose than regopular pricoce
- no docteror visits or hassles
- qupoick diposcrezet delivemory to your front dolror
depolivlyery
any - wheire
inas thes
worield
easy ? you
belt it is .
truly yours ,
jackie stratton
contact
",1
"Subject: hpl noms
- - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 01 / 24 / 2000
09 : 27 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
royal _ b _ edmondson @ reliantenergy . com on 01 / 24 / 2000 09 : 14 : 51 am
to : ami chokshi / corp / enron @ enron
cc :
subject : hpl noms
( see attached file : hpl - jan . xls )
- hpl - jan . xls",0
"Subject: re : noms / actual flow for 4 / 09 / 01
we agree
"" eileen ponton "" on 04 / 10 / 2001 11 : 50 : 01 am
to : david avila / lsp / enserch / us @ tu , charlie stone / texas utilities @ tu , melissa
jones / texas utilities @ tu , hpl . scheduling @ enron . com , liz . bellamy @ enron . com
cc :
subject : noms / actual flow for 4 / 09 / 01
60 , 000 rate for 14 hours ( 9 : 00 am to 23 : 00 )
40 , 000 rate for 10 hours ( 23 : 00 to 9 : 00 am )
nom mcf mmbtu
51 , 667 47 , 673 48 , 960
btu = 1 . 027",0
"Subject: revision # 1 - enron / hpl actuals for sept . 19 , 2000
teco tap 45 . 000 / enron ; 61 . 250 / hpl gas daily
ls hpl lsk ic 15 . 000 / enron
- - - - - - - - - - - - - - - - - - - - - - forwarded by melissa jones / texas utilities on
09 / 20 / 2000
10 : 49 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
melissa jones
09 / 20 / 2000 10 : 27 am
to : charlie stone / texas utilities @ tu , gary green / texas utilities @ tu ,
daren . j . farmer @ enron . com , gary . a . hanks @ enron . com ,
carlos . j . rodriguez @ enron . com , earl . tisdale @ enron . com ,
ami . chokshi @ enron . com
cc :
subject : enron / hpl actuals for sept . 19 , 2000
teco tap 35 . 000 / enron ; 71 . 250 / hpl gas daily
ls hpl lsk ic 15 . 000 / enron",0
"Subject: reorg . meeting
please find attached my notes on the 3 different options that we discussed on
last thursday . please review the options carefully and send me your
revisions / amendments by the end of the day tomorrow and i will send out a
"" final "" options list . particular help is needed on option 3 .
we can take those options with us when we meet with brenda on wednesday .
once again thanks for all of your ideas and co - operation .",0
"Subject: relocate to the usa ! get a green card easily !
benthic immaturedirty eclogue conferringbract
nightshirt utensilcyrillic schist tananarivevendor
basilar manfredexpertise sheet sternumcommodious
prowess vhfavuncular elysee lodestonecompulsory
momenta imagenrepairmen",1
"Subject: get back to me please
impositions sturdiness handsomest
relativism grayest abate
days hideousness solidifying
jealous bases demand
porter bit chess african
interfaced variables canvass
refueled circled punctually racking hellman
chopping edmonton navigator ozark legacies
affectingly rowland bolivia ballistics
- -
phone : 659 - 661 - 2699
mobile : 740 - 897 - 8873
email : fathomingcushions @ surnet . cl
",1
"Subject: training for sabrae
i would like to set up half day training sessions for sabrae zajac starting
next week .
i would like her to spend time with volume management , transportation , gas
control , and
trading support on her first week . please let me know if you or your group
is available for this and the best time / day .
this starts next week , monday april 10 th . thanks , pat 35578",0
"Subject: if you want real vicodin read this
save over 50 % on prescriptionqdrugs
with our on - line pharmacy you cand
1 . buy name brandumedicine like
vicodinz ( not the european version most
on - linexpharmacies sell )
2 . never have to get a bprescriptiond
from your doctor again
3 . have the medicine shipped right to your door .
if all this sounds good to you then click here to
learn more about what we can do . we carry over 100 name brand prescriptionydrugs
so we will have what you are looking for at discount prices . so ,
click here to visit us today and see for yourself .
",1
"Subject: revision # 1 - hpl nom for july 25 , 2000
( see attached file : hplo 725 . xls )
- hplo 725 . xls",0
"Subject: 3 / 4 / 2000 and following noms
this is to nominate 75 , 000 mmbtu / d into eastrans for 3 / 4 / 2000 and following .
we will deliver 50 , 000 into pg & e , 7 , 000 from fuel cotton valley ( continue
750
mmbtu / d sale ) ,
and 18 , 000 mmbtu / d into your cartwheel agreement at carthage .",0
"Subject: hp ink cartridges special
ink cartridges special
$ 21 . 86
$ 23 . 15
$ 25 . 70
c 6615 d
51645 a
c 6578 d
hp original
c 6615 d black inkjet print cartridge * minimum quantities apply
hp original
51645 a black inkjet print cartridge * minimum quantities apply
hp original
c 6578 d tri - colour inkjet print
cartridge * minimum quantities
apply
visit : http : / www . computron - me . com for deals !
your one stop / office # td
01 , jebel ali duty free zonedubai , uae . www . computron - me . com
for latest clearance sale listing contact our
sales department .
for further details please send
your enquiries to : dealers @ emirates . net . aeor contact via www . computron - me . com
compaq
hewlett packard
3 com
dell
intel
iomega
epson
aopen
creative
toshiba
apc
cisco
us
robotics
microsoft
canon
intellinet
targus
viewsonic
ibm
sony
- - - - - - - and lots more
! ! !
if you have any
complaints / suggestions contact : customerservice @ computron - me . com
tel + 971 4
8834464
all prices in u . s . dollars , ex - works ,
fax + 971 4
8834454
jebel ali duty free zone
www . computron - me . com
prices and availability subject to change
usa -
canada u . a . e .
without
notice .
to receive our special offers
in plain
text format reply to this
mail with the request * for
export only *
this
email can not be considered spam as long as we include : contact
information remove instructions . this message is intended for dealer
and resellers only . if you have somehow gotten on this list in error , or
for any other reason would like to be removed , please reply with "" remove
"" in the subject line of your message . this message is being sent to you
in compliance with the federal legislation for commercial e - mail
( h . r . 4176 - section 101 paragraph ( e ) ( 1 ) ( a ) and bill s . 1618 title iii
passed by the 105 th u . s . congress .
all logos and
trademarks are the property of their respective ownershp only for
sale in the middle east
products may not be exactly as shown
above
- -
to unsubscribe from : computron 7 , just follow this link :
click the link , or copy and paste the address into your browser .",1
"Subject: re : cp & l
daren ,
i am handling cp & l and am trying to resolve this issue from february production . cp & l shows 5 , 000 mmbtu on february 21 , but we do not have a deal . were you able to find anything out about this ?
thanks for your help .
rebecca
- - - - - - - - - - - - - - - - - - - - - - forwarded by rebecca griffin / na / enron on 03 / 27 / 2001 04 : 04 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
katherine herrera
03 / 26 / 2001 09 : 57 am
to : rebecca griffin / na / enron @ enron
cc :
subject : re : cp & l
- - - - - - - - - - - - - - - - - - - - - - forwarded by katherine herrera / corp / enron on 03 / 26 / 2001 09 : 46 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : gary w lamphier @ ect 03 / 26 / 2001 09 : 52 am
to : daren j farmer / hou / ect @ ect
cc : katherine herrera / corp / enron @ enron
subject : re : cp & l
can we verified this gas flowed ? if it did it should have been billed on his term deal if there was one in place . if the gas flowed and we did not invoice for it on term let me know and i will put it in .
janet h wallis
03 / 22 / 2001 04 : 53 pm
to : gary w lamphier / hou / ect @ ect
cc : katherine herrera / corp / enron @ enron
subject : cp & l
bob says he was not billed for a purchase he made from you at 5 k $ 5 . 16 on feb 21 st . will you check this out and get with
bob a and katherine herrera .
jw
",0
"Subject: - get a dell laptop computer free !
",1
